切换为分代回收，耗时：  0.002ms
当前内存限制： 15.419M
分代	  0.697ms	  6.719M
分代	  0.107ms	  6.732M
分代	  0.004ms	  6.738M
分代	  0.093ms	  6.736M
分代	  0.075ms	  6.735M
分代	  0.082ms	  6.735M
分代	  0.110ms	  6.735M
分代	  0.072ms	  6.735M
分代	  0.005ms	  6.736M
分代	  0.083ms	  6.736M
分代	  0.086ms	  6.735M
分代	  0.704ms	  6.735M
分代	  0.086ms	  6.735M
分代	  0.004ms	  6.736M
分代	  0.102ms	  6.736M
分代	  0.084ms	  6.735M
分代	  0.109ms	  6.735M
分代	  0.004ms	  6.736M
分代	  0.203ms	  6.736M
分代	  0.158ms	  6.735M
分代	  0.090ms	  6.735M
分代	  0.100ms	  6.735M
分代	  0.106ms	  6.735M
分代	  0.111ms	  6.735M
分代	  0.006ms	  6.741M
分代	  0.096ms	  6.739M
分代	  0.007ms	  6.740M
分代	  0.121ms	  6.739M
分代	  0.114ms	  6.739M
分代	  0.103ms	  6.739M
分代	  0.179ms	  6.738M
分代	  0.084ms	  6.739M
分代	  0.006ms	  6.740M
分代	  0.101ms	  6.739M
分代	  0.126ms	  6.739M
分代	  0.219ms	  6.739M
分代	  0.088ms	  6.739M
分代	  0.154ms	  6.739M
分代	  0.005ms	  6.740M
分代	  0.091ms	  6.739M
分代	  0.077ms	  6.739M
分代	  0.007ms	  6.740M
分代	  0.107ms	  6.739M
分代	  0.132ms	  6.739M
分代	  0.102ms	  6.739M
分代	  0.051ms	  6.738M
分代	  0.005ms	  6.740M
分代	  0.109ms	  6.740M
分代	  0.004ms	  6.746M
分代	  0.004ms	  6.747M
分代	  0.153ms	  6.743M
分代	  0.087ms	  6.742M
分代	  0.160ms	  6.742M
分代	  0.121ms	  6.742M
分代	  0.179ms	  6.742M
分代	  0.130ms	  6.742M
分代	  0.085ms	  6.742M
分代	  0.004ms	  6.743M
分代	  0.095ms	  6.743M
分代	  0.092ms	  6.742M
分代	  0.092ms	  6.742M
分代	  0.091ms	  6.742M
分代	  0.007ms	  6.743M
分代	  0.004ms	  6.744M
分代	  0.117ms	  6.743M
分代	  0.122ms	  6.742M
分代	  0.091ms	  6.742M
分代	  0.009ms	  6.743M
分代	  0.004ms	  7.348M
分代	  0.006ms	  7.349M
分代	  0.006ms	  7.358M
分代	  0.004ms	  7.398M
分代	  0.462ms	  6.892M
分代	  0.004ms	  6.893M
分代	  0.193ms	  6.887M
分代	  0.005ms	  6.889M
分代	  0.164ms	  6.887M
分代	  0.004ms	  6.889M
分代	  0.102ms	  6.887M
分代	  0.004ms	  6.888M
分代	  0.007ms	  6.890M
分代	  0.116ms	  6.887M
分代	  0.004ms	  6.889M
分代	  0.125ms	  6.887M
分代	  0.087ms	  6.887M
分代	  0.004ms	  6.888M
分代	  0.118ms	  6.888M
分代	  0.004ms	  6.889M
分代	  0.005ms	  6.890M
分代	  0.103ms	  6.888M
分代	  0.004ms	  6.889M
分代	  0.004ms	  6.890M
分代	  0.005ms	  6.891M
分代	  0.122ms	  6.888M
分代	  0.004ms	  6.895M
分代	  0.004ms	  6.897M
分代	  0.131ms	  6.892M
分代	  0.087ms	  6.891M
分代	  0.004ms	  6.892M
分代	  0.293ms	  6.891M
分代	  0.060ms	  6.891M
分代	  0.004ms	  6.894M
分代	  0.004ms	  6.895M
分代	  0.103ms	  6.893M
分代	  0.062ms	  6.891M
分代	  0.004ms	  6.893M
分代	  0.004ms	  6.894M
分代	  0.118ms	  6.893M
分代	  0.093ms	  6.892M
分代	  0.005ms	  6.893M
分代	  0.103ms	  6.892M
分代	  0.004ms	  6.893M
分代	  0.129ms	  6.892M
分代	  0.006ms	  6.893M
分代	  0.098ms	  6.892M
分代	  0.065ms	  6.892M
分代	  0.016ms	  6.892M
分代	  0.019ms	  6.892M
分代	  0.004ms	  6.893M
分代	  0.004ms	  6.901M
分代	  0.006ms	  6.902M
分代	  0.125ms	  6.898M
分代	  0.006ms	  6.899M
分代	  0.006ms	  6.901M
分代	  0.105ms	  6.897M
分代	  0.065ms	  6.895M
分代	  0.013ms	  6.895M
分代	  0.023ms	  6.895M
分代	  0.136ms	  6.896M
分代	  0.006ms	  6.998M
分代	  0.005ms	  6.999M
分代	  0.006ms	  7.001M
分代	  0.005ms	  7.002M
分代	  0.005ms	  7.008M
分代	  0.007ms	  7.009M
分代	  0.004ms	  7.010M
分代	  0.006ms	  7.012M
分代	  0.005ms	  7.013M
分代	  0.006ms	  7.018M
分代	  0.007ms	  7.020M
分代	  0.008ms	  7.021M
分代	  0.368ms	  6.901M
分代	  0.006ms	  6.903M
分代	  0.219ms	  6.896M
分代	  0.009ms	  6.909M
分代	  0.138ms	  6.901M
分代	  0.006ms	  6.902M
分代	  0.129ms	  6.900M
分代	  0.007ms	  6.921M
分代	  0.006ms	  6.923M
分代	  0.004ms	  6.924M
分代	  0.004ms	  6.925M
分代	  0.005ms	  6.931M
分代	  0.171ms	  6.904M
分代	  0.073ms	  6.901M
分代	  0.006ms	  6.903M
分代	  0.005ms	  6.904M
分代	  0.007ms	  6.910M
分代	  0.008ms	  6.912M
分代	  0.005ms	  6.913M
分代	  0.157ms	  6.905M
分代	  0.123ms	  6.903M
分代	  0.005ms	  6.909M
分代	  0.007ms	  6.911M
分代	  0.005ms	  6.912M
分代	  0.005ms	  6.913M
分代	  0.006ms	  6.915M
分代	  0.005ms	  6.925M
分代	  0.007ms	  6.926M
分代	  0.005ms	  6.928M
分代	  0.006ms	  6.929M
分代	  0.007ms	  6.933M
分代	  0.005ms	  6.934M
分代	  0.203ms	  6.913M
分代	  0.004ms	  6.915M
分代	  0.011ms	  6.918M
分代	  0.006ms	  6.919M
分代	  0.006ms	  6.921M
分代	  0.007ms	  6.923M
分代	  0.005ms	  6.925M
分代	  0.150ms	  6.911M
分代	  0.070ms	  6.909M
分代	  0.014ms	  6.909M
分代	  0.004ms	  6.911M
分代	  0.006ms	  6.929M
分代	  0.005ms	  6.932M
分代	  0.218ms	  6.912M
分代	  0.006ms	  6.919M
分代	  0.004ms	  6.920M
分代	  0.005ms	  6.922M
分代	  0.004ms	  6.924M
分代	  0.005ms	  6.935M
分代	  0.005ms	  6.937M
分代	  0.004ms	  6.939M
分代	  0.234ms	  6.918M
分代	  0.004ms	  6.919M
分代	  0.007ms	  6.925M
分代	  0.007ms	  6.926M
分代	  0.004ms	  6.929M
分代	  0.004ms	  6.931M
分代	  0.010ms	  6.947M
分代	  0.004ms	  6.949M
分代	  0.007ms	  6.952M
分代	  0.004ms	  6.966M
分代	  0.208ms	  6.920M
分代	  0.006ms	  6.926M
分代	  0.004ms	  6.929M
分代	  0.007ms	  6.930M
分代	  0.006ms	  6.932M
分代	  0.004ms	  6.933M
分代	  0.003ms	  6.937M
分代	  0.007ms	  6.939M
分代	  0.004ms	  6.941M
分代	  0.007ms	  6.943M
分代	  0.004ms	  6.945M
分代	  0.208ms	  6.920M
分代	  0.004ms	  6.945M
分代	  0.005ms	  6.949M
分代	  0.006ms	  6.950M
分代	  0.006ms	  6.952M
分代	  0.005ms	  7.009M
分代	  0.006ms	  7.010M
分代	  0.004ms	  7.012M
分代	  0.008ms	  7.015M
分代	  0.010ms	  7.019M
分代	  0.004ms	  7.021M
分代	  0.004ms	  7.023M
分代	  0.005ms	  7.025M
分代	  0.006ms	  7.026M
分代	  0.007ms	  7.030M
分代	  0.005ms	  7.033M
分代	  0.004ms	  7.035M
分代	  0.004ms	  7.037M
分代	  0.005ms	  7.039M
分代	  0.006ms	  7.042M
分代	  0.006ms	  7.044M
分代	  0.357ms	  6.931M
分代	  0.004ms	  6.934M
分代	  0.004ms	  6.990M
分代	  0.005ms	  7.002M
分代	  0.677ms	  6.930M
分代	  0.005ms	  6.985M
分代	  0.004ms	  6.987M
分代	  0.004ms	  6.988M
分代	  0.248ms	  6.930M
分代	  0.005ms	  6.937M
分代	  0.007ms	  6.939M
分代	  0.006ms	  6.940M
分代	  0.009ms	  6.946M
分代	  0.005ms	  6.947M
分代	  0.005ms	  6.949M
分代	  0.004ms	  6.950M
分代	  0.194ms	  6.933M
分代	  0.200ms	  6.930M
分代	  0.087ms	  6.930M
分代	  0.014ms	  6.930M
分代	  0.007ms	  6.993M
分代	  0.007ms	  6.995M
分代	  0.005ms	  7.000M
分代	  0.004ms	  7.001M
分代	  0.020ms	  7.003M
分代	  0.004ms	  7.004M
分代	  0.004ms	  7.007M
分代	  0.015ms	  7.019M
分代	  0.006ms	  7.022M
分代	  0.007ms	  7.024M
分代	  0.008ms	  7.025M
分代	  0.004ms	  7.027M
分代	  0.007ms	  7.031M
分代	  0.573ms	  6.948M
分代	  0.119ms	  6.942M
分代	  0.023ms	  6.942M
分代	  0.004ms	  6.958M
分代	  0.011ms	  6.965M
分代	  0.006ms	  6.979M
分代	  0.007ms	  6.980M
分代	  0.004ms	  6.982M
分代	  0.006ms	  6.986M
分代	  0.006ms	  6.987M
分代	  0.004ms	  6.988M
分代	  0.211ms	  6.948M
分代	  0.007ms	  6.952M
分代	  0.004ms	  6.957M
分代	  0.153ms	  6.947M
分代	  0.111ms	  6.945M
分代	  0.006ms	  6.950M
分代	  0.007ms	  6.951M
分代	  0.005ms	  6.963M
分代	  0.005ms	  6.965M
分代	  0.219ms	  6.953M
分代	  0.004ms	  6.957M
分代	  0.004ms	  6.958M
分代	  0.006ms	  6.963M
分代	  0.225ms	  6.953M
分代	  0.006ms	  6.956M
分代	  0.004ms	  6.958M
分代	  0.005ms	  6.963M
分代	  0.004ms	  6.964M
分代	  0.200ms	  6.953M
分代	  0.004ms	  6.958M
分代	  0.137ms	  6.953M
分代	  0.007ms	  6.962M
分代	  0.006ms	  6.963M
分代	  0.008ms	  6.965M
分代	  0.006ms	  6.966M
分代	  0.005ms	  6.968M
分代	  0.006ms	  6.972M
分代	  0.004ms	  7.028M
分代	  0.005ms	  7.030M
分代	  0.005ms	  7.044M
分代	  0.011ms	  7.045M
分代	  0.006ms	  7.060M
分代	  0.007ms	  7.113M
分代	  0.006ms	  7.114M
分代	  0.006ms	  7.116M
分代	  0.006ms	  7.118M
分代	  0.005ms	  7.123M
分代	  0.007ms	  7.124M
分代	  0.005ms	  7.126M
分代	  0.005ms	  7.128M
分代	  0.004ms	  7.132M
分代	  0.006ms	  7.134M
分代	  0.004ms	  7.135M
分代	  0.007ms	  7.138M
分代	  0.004ms	  7.140M
分代	  0.006ms	  7.145M
分代	  0.005ms	  7.146M
分代	  0.005ms	  7.147M
分代	  0.004ms	  7.149M
分代	  0.004ms	  7.150M
分代	  0.006ms	  7.156M
分代	  0.004ms	  7.157M
分代	  0.004ms	  7.159M
分代	  0.005ms	  7.161M
分代	  0.005ms	  7.162M
分代	  0.006ms	  7.174M
分代	  0.005ms	  7.175M
分代	  0.005ms	  7.176M
分代	  0.004ms	  7.178M
分代	  0.004ms	  7.180M
分代	  0.006ms	  7.200M
分代	  0.006ms	  7.201M
分代	  0.007ms	  7.203M
分代	  0.005ms	  7.205M
分代	  0.005ms	  7.209M
分代	  0.005ms	  7.223M
分代	  0.005ms	  7.224M
分代	  0.004ms	  7.278M
分代	  0.006ms	  7.279M
分代	  0.007ms	  7.284M
分代	  0.004ms	  7.286M
分代	  0.007ms	  7.287M
分代	  1.195ms	  6.985M
分代	  0.005ms	  6.987M
分代	  0.005ms	  6.992M
分代	  0.004ms	  6.994M
分代	  0.005ms	  6.995M
分代	  0.006ms	  6.997M
分代	  0.004ms	  6.998M
分代	  0.007ms	  7.011M
分代	  0.004ms	  7.013M
分代	  0.688ms	  6.972M
分代	  0.005ms	  6.978M
分代	  0.004ms	  6.979M
分代	  0.004ms	  6.985M
分代	  0.004ms	  6.987M
分代	  0.004ms	  6.988M
分代	  0.005ms	  6.990M
分代	  0.212ms	  6.972M
分代	  0.087ms	  6.970M
分代	  0.005ms	  6.975M
分代	  0.005ms	  6.976M
分代	  0.007ms	  6.978M
分代	  0.006ms	  6.982M
分代	  0.005ms	  6.984M
分代	  0.007ms	  6.985M
分代	  0.006ms	  6.987M
分代	  0.004ms	  6.989M
分代	  0.008ms	  6.993M
分代	  0.006ms	  7.046M
分代	  0.007ms	  7.048M
分代	  0.005ms	  7.050M
分代	  0.006ms	  7.051M
分代	  0.261ms	  6.976M
分代	  0.004ms	  6.989M
分代	  0.005ms	  7.044M
分代	  0.005ms	  7.046M
分代	  0.006ms	  7.047M
分代	  0.004ms	  7.052M
分代	  0.011ms	  7.067M
分代	  0.006ms	  7.068M
分代	  0.004ms	  7.070M
分代	  0.004ms	  7.071M
分代	  0.006ms	  7.075M
分代	  0.006ms	  7.077M
分代	  0.281ms	  6.985M
分代	  0.006ms	  6.987M
分代	  0.008ms	  6.991M
分代	  0.006ms	  6.992M
分代	  0.010ms	  7.006M
分代	  0.005ms	  7.008M
分代	  0.007ms	  7.009M
分代	  0.004ms	  7.014M
分代	  0.300ms	  6.984M
分代	  0.005ms	  6.987M
分代	  0.008ms	  7.000M
分代	  0.006ms	  7.004M
分代	  0.005ms	  7.017M
分代	  0.006ms	  7.019M
分代	  0.005ms	  7.020M
分代	  0.005ms	  7.022M
分代	  0.005ms	  7.024M
分代	  0.006ms	  7.027M
分代	  0.700ms	  6.992M
分代	  0.005ms	  6.996M
分代	  0.007ms	  6.997M
分代	  0.004ms	  6.999M
分代	  0.004ms	  7.003M
分代	  0.004ms	  7.007M
分代	  0.006ms	  7.009M
分代	  0.006ms	  7.010M
分代	  0.335ms	  6.993M
分代	  0.133ms	  6.990M
分代	  0.006ms	  6.995M
分代	  0.007ms	  6.996M
分代	  0.006ms	  6.998M
分代	  0.006ms	  7.001M
分代	  0.006ms	  7.003M
分代	  0.007ms	  7.056M
分代	  0.004ms	  7.058M
分代	  0.004ms	  7.059M
分代	  0.004ms	  7.072M
分代	  0.006ms	  7.074M
分代	  0.004ms	  7.076M
分代	  0.006ms	  7.078M
分代	  0.008ms	  7.079M
分代	  0.004ms	  7.082M
分代	  0.007ms	  7.135M
分代	  0.359ms	  7.004M
分代	  0.004ms	  7.006M
分代	  0.004ms	  7.007M
分代	  0.005ms	  7.012M
分代	  0.005ms	  7.013M
分代	  0.006ms	  7.069M
分代	  0.006ms	  7.073M
分代	  0.004ms	  7.078M
分代	  0.282ms	  7.004M
分代	  0.004ms	  7.005M
分代	  0.160ms	  7.002M
分代	  0.005ms	  7.004M
分代	  0.007ms	  7.021M
分代	  0.004ms	  7.022M
分代	  0.004ms	  7.026M
分代	  0.174ms	  7.006M
分代	  0.117ms	  7.003M
分代	  0.213ms	  7.004M
分代	  0.006ms	  7.019M
分代	  0.004ms	  7.021M
分代	  0.006ms	  7.023M
分代	  0.007ms	  7.024M
分代	  0.006ms	  7.030M
分代	  0.006ms	  7.044M
分代	  0.004ms	  7.045M
分代	  0.007ms	  7.046M
分代	  0.006ms	  7.048M
分代	  0.008ms	  7.053M
分代	  0.247ms	  7.018M
分代	  0.006ms	  7.020M
分代	  0.004ms	  7.022M
分代	  0.005ms	  7.028M
分代	  0.005ms	  7.030M
分代	  0.004ms	  7.032M
分代	  0.006ms	  7.034M
分代	  0.005ms	  7.035M
分代	  0.007ms	  7.039M
分代	  0.005ms	  7.040M
分代	  0.004ms	  7.042M
分代	  0.006ms	  7.044M
分代	  0.007ms	  7.048M
分代	  0.006ms	  7.060M
分代	  0.006ms	  7.061M
分代	  0.006ms	  7.064M
分代	  0.006ms	  7.066M
分代	  0.963ms	  7.021M
分代	  0.006ms	  7.038M
分代	  0.006ms	  7.040M
分代	  0.007ms	  7.042M
分代	  0.004ms	  7.043M
分代	  0.013ms	  7.097M
分代	  0.008ms	  7.101M
分代	  0.006ms	  7.102M
分代	  0.006ms	  7.107M
分代	  0.005ms	  7.108M
分代	  0.005ms	  7.109M
分代	  0.005ms	  7.114M
分代	  0.305ms	  7.020M
分代	  0.005ms	  7.025M
分代	  0.004ms	  7.027M
分代	  0.009ms	  7.031M
分代	  0.006ms	  7.087M
分代	  0.004ms	  7.088M
分代	  0.006ms	  7.089M
分代	  0.005ms	  7.094M
分代	  0.007ms	  7.109M
分代	  0.005ms	  7.111M
分代	  0.006ms	  7.112M
分代	  0.005ms	  7.114M
分代	  0.006ms	  7.116M
分代	  0.006ms	  7.120M
分代	  0.005ms	  7.122M
分代	  0.007ms	  7.123M
分代	  0.004ms	  7.124M
分代	  0.004ms	  7.126M
分代	  0.005ms	  7.130M
分代	  0.007ms	  7.132M
分代	  0.005ms	  7.134M
分代	  0.003ms	  7.136M
分代	  0.007ms	  7.137M
分代	  0.500ms	  7.035M
分代	  0.004ms	  7.041M
分代	  0.004ms	  7.054M
分代	  0.005ms	  7.069M
分代	  0.006ms	  7.122M
分代	  0.004ms	  7.127M
分代	  0.006ms	  7.128M
分代	  0.007ms	  7.130M
分代	  0.004ms	  7.131M
分代	  0.008ms	  7.146M
分代	  0.008ms	  7.147M
分代	  0.004ms	  7.149M
分代	  0.005ms	  7.150M
分代	  0.005ms	  7.152M
分代	  0.005ms	  7.156M
分代	  0.927ms	  7.037M
分代	  0.187ms	  7.032M
分代	  0.020ms	  7.032M
分代	  0.113ms	  7.032M
分代	  0.005ms	  7.049M
分代	  0.013ms	  7.054M
分代	  0.006ms	  7.056M
分代	  0.006ms	  7.058M
分代	  0.005ms	  7.059M
分代	  0.004ms	  7.064M
分代	  0.004ms	  7.065M
分代	  0.005ms	  7.067M
分代	  0.004ms	  7.068M
分代	  0.007ms	  7.073M
分代	  0.006ms	  7.074M
分代	  0.007ms	  7.076M
分代	  0.004ms	  7.077M
分代	  0.005ms	  7.080M
分代	  0.484ms	  7.039M
分代	  0.006ms	  7.052M
分代	  0.007ms	  7.054M
分代	  0.004ms	  7.055M
分代	  0.005ms	  7.057M
分代	  0.004ms	  7.058M
分代	  0.005ms	  7.062M
分代	  0.005ms	  7.116M
分代	  0.004ms	  7.171M
分代	  0.009ms	  7.173M
分代	  0.004ms	  7.179M
分代	  0.007ms	  7.180M
分代	  0.280ms	  7.046M
分代	  0.005ms	  7.047M
分代	  0.011ms	  7.049M
分代	  0.005ms	  7.056M
分代	  0.005ms	  7.057M
分代	  0.009ms	  7.059M
分代	  0.004ms	  7.073M
分代	  0.004ms	  7.074M
分代	  0.004ms	  7.080M
分代	  0.432ms	  7.047M
分代	  0.004ms	  7.103M
分代	  0.006ms	  7.105M
分代	  0.005ms	  7.121M
分代	  0.005ms	  7.122M
分代	  0.004ms	  7.123M
分代	  0.341ms	  7.056M
分代	  0.004ms	  7.059M
分代	  0.005ms	  7.064M
分代	  0.008ms	  7.065M
分代	  0.006ms	  7.067M
分代	  0.197ms	  7.056M
分代	  0.005ms	  7.058M
分代	  0.128ms	  7.055M
分代	  0.007ms	  7.060M
分代	  0.005ms	  7.061M
分代	  0.251ms	  7.055M
分代	  0.009ms	  7.057M
分代	  0.006ms	  7.063M
分代	  0.008ms	  7.065M
分代	  0.243ms	  7.056M
分代	  0.006ms	  7.058M
分代	  0.005ms	  7.063M
分代	  0.006ms	  7.064M
分代	  0.006ms	  7.065M
分代	  0.003ms	  7.067M
分代	  0.008ms	  7.068M
分代	  0.255ms	  7.057M
分代	  0.142ms	  7.055M
分代	  0.005ms	  7.068M
分代	  0.005ms	  7.090M
分代	  0.216ms	  7.071M
分代	  0.009ms	  7.072M
分代	  0.005ms	  7.077M
分代	  0.005ms	  7.079M
分代	  0.258ms	  7.071M
分代	  0.007ms	  7.126M
分代	  0.004ms	  7.130M
分代	  0.007ms	  7.132M
分代	  0.005ms	  7.133M
分代	  0.320ms	  7.072M
分代	  0.005ms	  7.073M
分代	  0.004ms	  7.079M
分代	  0.015ms	  7.081M
分代	  0.005ms	  7.082M
分代	  0.004ms	  7.084M
分代	  0.194ms	  7.073M
分代	  0.006ms	  7.074M
分代	  0.005ms	  7.080M
分代	  0.007ms	  7.082M
分代	  0.005ms	  7.084M
分代	  0.004ms	  7.098M
分代	  0.006ms	  7.099M
分代	  0.006ms	  7.101M
分代	  0.010ms	  7.103M
分代	  0.005ms	  7.104M
分代	  0.006ms	  7.106M
分代	  0.005ms	  7.110M
分代	  0.005ms	  7.112M
分代	  0.004ms	  7.114M
分代	  0.005ms	  7.115M
分代	  0.310ms	  7.085M
分代	  0.106ms	  7.079M
分代	  0.005ms	  7.097M
分代	  0.004ms	  7.099M
分代	  0.007ms	  7.101M
分代	  0.151ms	  7.082M
分代	  0.010ms	  7.086M
分代	  0.004ms	  7.141M
分代	  0.005ms	  7.142M
分代	  0.004ms	  7.143M
分代	  0.004ms	  7.148M
分代	  0.006ms	  7.150M
分代	  0.006ms	  7.151M
分代	  0.012ms	  7.153M
分代	  0.006ms	  7.168M
分代	  0.004ms	  7.169M
分代	  0.005ms	  7.183M
分代	  0.005ms	  7.185M
分代	  0.004ms	  7.186M
分代	  0.512ms	  7.095M
分代	  0.008ms	  7.182M
分代	  0.004ms	  7.183M
分代	  0.005ms	  7.186M
分代	  0.005ms	  7.188M
分代	  0.006ms	  7.190M
分代	  0.006ms	  7.463M
分代	  0.004ms	  7.760M
分代	  0.004ms	  7.762M
分代	  0.004ms	  7.763M
分代	  0.008ms	  7.765M
分代	  0.004ms	  7.767M
分代	  0.004ms	  7.768M
分代	  0.005ms	  7.770M
分代	  0.005ms	  7.772M
分代	  0.006ms	  7.773M
分代	  0.005ms	  7.774M
分代	  0.839ms	  7.101M
分代	  0.004ms	  7.105M
分代	  0.010ms	  7.106M
分代	  0.005ms	  7.118M
分代	  0.006ms	  7.120M
分代	  0.006ms	  7.121M
分代	  0.007ms	  7.123M
分代	  0.003ms	  7.313M
分代	  0.006ms	  7.315M
分代	  0.008ms	  7.316M
分代	  0.871ms	  7.110M
分代	  0.243ms	  7.105M
分代	  0.005ms	  7.148M
分代	  0.006ms	  7.149M
分代	  0.005ms	  7.151M
分代	  0.012ms	  7.153M
分代	  0.005ms	  7.154M
分代	  0.007ms	  7.156M
分代	  0.004ms	  7.157M
分代	  0.004ms	  7.159M
分代	  0.009ms	  7.161M
分代	  0.005ms	  7.163M
分代	  0.007ms	  7.164M
分代	  0.005ms	  7.166M
分代	  0.004ms	  7.168M
分代	  0.004ms	  7.169M
分代	  0.280ms	  7.113M
分代	  0.006ms	  7.123M
分代	  0.005ms	  7.126M
分代	  0.005ms	  7.128M
分代	  0.004ms	  7.129M
分代	  0.321ms	  7.116M
分代	  0.008ms	  7.119M
分代	  0.005ms	  7.121M
分代	  0.011ms	  7.122M
分代	  0.004ms	  7.124M
分代	  0.005ms	  7.125M
分代	  0.004ms	  7.127M
分代	  0.011ms	  7.129M
分代	  0.004ms	  7.131M
分代	  0.005ms	  7.132M
分代	  0.006ms	  7.134M
分代	  0.006ms	  7.135M
分代	  0.005ms	  7.137M
分代	  0.005ms	  7.138M
分代	  0.004ms	  7.140M
分代	  0.007ms	  7.142M
分代	  0.007ms	  7.144M
分代	  0.004ms	  7.145M
